fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb,salary,college,weight,debut,height,shoots,fg3a_per_fga_pct,vorp,ws_per_48,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,per,orb_pct,dws,usg_pct,ast_pct,obpm,fta_per_fga_pct,bpm,dbpm,trb_pct,ws
56,0,0.395,SG,23,7,Alex Acker,TOT,72,0.441,7,10,9,4,0.5,20,5,12,08-Sep,0.35,a/ackeral01.html,30,8,76,25,5,26,24,ackeral01,0.411,199,16,711517,Pepperdine University,83,2006,196,Right,0.263,-0.2,-0.011,-0.1,8,0.448,1.3,9.6,1.5,10.4,4.5,0.1,20.1,10.2,-3.6,0.132,-6,-2.4,7,0
13,0,0.308,SG,4,0,Hassan Adams,TOR,11,0.308,4,6,4,1,0.5,0,3,1,08-Sep,,a/adamsha01.html,4,1,13,12,1,24,7,adamsha01,0.308,52,6,297163,University of Arizona,99,2006,193,Right,0,-0.1,-0.144,-0.2,20.4,0.352,1,13.4,1.5,0.4,2.3,0,17.4,2.8,-10.6,0.462,-12,-1.3,7.9,-0.2
193,8,0.437,SG,88,43,Arron Afflalo,DET,363,0.508,43,71,144,13,0.817,107,58,44,08-Sep,0.402,a/afflaar01.html,131,30,300,74,28,23,134,afflaar01,0.456,1234,104,1015440,"University of California, Los Angeles",95,2007,196,Right,0.357,-0.1,0.069,0.8,11.5,0.548,1.3,10.1,0.8,8.9,2.8,1,14.5,5.5,-1.7,0.237,-2.4,-0.7,6.4,1.8
37,0,0.349,SG,15,0,Maurice Ager,NJN,34,0.349,4,8,17,2,0.5,6,4,3,08-Sep,0,a/agerma01.html,15,3,43,20,1,24,10,agerma01,0.405,97,7,1042440,Michigan State University,91,2006,196,Right,0.14,-0.3,-0.133,-0.3,7.9,0.365,0.6,8.7,1.7,2.2,3.6,0,24.4,5.3,-8.5,0.186,-12.8,-4.3,6.1,-0.3
2,0,0.333,PG,0,2,Blake Ahearn,SAS,8,0.5,1,2,3,0,1,4,2,2,08-Sep,0.5,a/ahearbl01.html,2,0,6,3,1,24,1,ahearbl01,0,19,1,125562,Missouri State University,86,2008,188,Right,0.667,0,0.149,0,12.7,0.581,2.9,6.2,0,12.9,0,0,20.1,16,0.6,0.333,-1.1,-1.8,3.1,0.1
67,4,0.362,PF,25,0,Alexis Ajinca,CHA,70,0.362,12,28,34,6,0.714,2,20,3,08-Sep,0,a/ajincal01.html,25,9,69,31,7,20,30,ajincal01,0.373,182,21,1276320,,112,2008,218,Right,0.029,-0.3,-0.018,-0.3,12.9,0.43,2.1,14.2,2.7,7,6.2,0.3,24.2,2.8,-8.1,0.406,-9.3,-1.2,10.2,-0.1
1215,81,0.484,PF,594,7,LaMarcus Aldridge,POR,1470,0.486,121,334,207,77,0.781,28,261,157,08-Sep,0.25,a/aldrila01.html,601,234,1243,81,77,23,605,aldrila01,0.489,3004,371,4631400,University of Texas at Austin,117,2006,211,Right,0.023,3,0.151,6.1,8,0.529,1.4,15.6,2,19.1,9.5,3.3,23.7,9.3,1.2,0.269,1.9,0.7,12.5,9.5
199,0,0.416,SF,86,16,Joe Alexander,MIL,278,0.449,52,83,107,29,0.699,46,58,42,08-Sep,0.348,a/alexajo01.html,102,44,245,59,15,22,115,alexajo01,0.432,716,71,2403120,West Virginia University,104,2008,203,Right,0.188,-0.2,0.03,-0.3,15.6,0.494,1.1,12.3,3.4,10.1,6.9,0.7,20.9,9.5,-3.4,0.339,-3.3,0.2,9.5,0.4
169,3,0.429,PF,73,0,Malik Allen,MIL,156,0.429,20,21,89,12,0.476,1,10,35,08-Sep,0,a/allenma01.html,73,35,170,49,7,30,103,allenma01,0.432,579,68,1300000,Villanova University,115,2001,208,Right,0.006,-0.4,0.024,-0.2,10,0.435,0.6,14.5,1.7,7.3,6.8,0.5,15.4,9.5,-4.5,0.124,-4.6,-0.1,10.5,0.3
554,79,0.48,SG,300,199,Ray Allen,BOS,1434,0.575,134,249,157,13,0.952,486,237,218,08-Sep,0.409,a/allenra02.html,499,66,1040,79,69,33,278,allenra02,0.542,2876,212,18388430,University of Connecticut,92,1996,196,Right,0.467,4.3,0.186,7.4,10.4,0.624,1.3,8.6,0.4,17.3,2.9,3.7,20.8,12.6,4.3,0.239,3.9,-0.3,5.9,11.1
