fg3a_per_fga_pct,Yyy,vorp,ws_per_48,pos,player,team_id,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,Xxx,per,orb_pct,dws,season,usg_pct,link,ast_pct,obpm,fta_per_fga_pct,bpm,g,age,dbpm,pseudo,mp,trb_pct,ws
.058,,1.3,.139,PF,Shareef Abdur-Rahim,POR,3.9,13.0,.581,1.4,16.0,1.0,,18.7,7.9,1.5,04/05,22.1,a/abdursh01.html,10.7,1.4,.379,0.8,54,28,-0.5,abdursh01,1867,12.1,5.4
.388,,-0.1,.002,SG,Cory Alexander,CHA,-0.2,25.9,.451,2.3,12.6,0.4,,8.8,4.3,0.2,04/05,16.2,a/alexaco01.html,27.7,-2.9,.245,-3.4,16,31,-0.5,alexaco01,201,8.2,0.0
.000,,0.0,.100,PF,Malik Allen,TOT,0.6,8.7,.512,0.9,13.3,3.2,,14.2,9.0,0.5,04/05,18.1,a/allenma01.html,5.7,-2.0,.158,-2.3,36,26,-0.3,allenma01,519,11.0,1.1
.000,,0.1,.113,PF,Malik Allen,MIA,0.3,11.8,.505,0.9,12.7,3.3,,13.6,11.8,0.3,04/05,17.5,a/allenma01.html,7.0,-1.7,.184,-1.1,14,26,0.6,allenma01,248,12.2,0.6
.000,,-0.1,.088,PF,Malik Allen,CHA,0.3,6.1,.518,1.0,13.8,3.1,,14.8,6.4,0.2,04/05,18.7,a/allenma01.html,4.6,-2.4,.139,-3.4,22,26,-1.0,allenma01,271,9.9,0.5
.372,,4.4,.168,SG,Ray Allen,SEA,9.7,9.2,.555,1.5,10.7,0.1,,20.9,3.2,1.0,04/05,28.0,a/allenra02.html,18.1,5.6,.286,3.7,78,29,-1.9,allenra02,3064,6.9,10.7
.080,,0.6,.103,SG,Tony Allen,BOS,1.2,14.5,.542,3.1,12.3,1.4,,14.7,8.0,1.6,04/05,18.9,a/allento01.html,8.2,-0.7,.393,-0.1,77,23,0.6,allento01,1262,10.2,2.7
.399,,2.4,.098,PG,Rafer Alston,TOR,3.8,13.5,.522,2.2,10.1,0.2,,16.5,1.7,1.7,04/05,21.2,a/alstora01.html,31.7,2.6,.265,1.5,80,28,-1.2,alstora01,2717,5.8,5.5
.008,,1.2,.152,C,Chris Andersen,NOH,2.7,12.7,.581,0.5,23.6,5.6,,18.5,10.9,1.8,04/05,16.4,a/anderch01.html,9.1,-1.1,.531,1.2,67,26,2.4,anderch01,1430,17.0,4.5
.386,,0.0,.052,SG,Derek Anderson,POR,0.7,14.0,.503,1.6,9.2,0.2,,11.7,2.4,0.6,04/05,18.5,a/anderde01.html,18.9,-0.3,.223,-2.1,47,30,-1.8,anderde01,1239,6.0,1.3
.065,,-0.4,.011,PG,Kenny Anderson,TOT,-0.1,18.4,.467,2.3,10.5,0.0,,10.1,3.6,0.3,04/05,16.1,a/anderke01.html,22.2,-2.9,.184,-4.4,43,34,-1.5,anderke01,743,6.9,0.2
.068,,-0.4,.016,PG,Kenny Anderson,ATL,0.0,18.2,.473,2.4,10.3,0.0,,10.4,3.6,0.3,04/05,15.8,a/anderke01.html,21.8,-2.7,.195,-4.2,39,34,-1.5,anderke01,717,6.7,0.2
.000,,0.0,-0.125,PG,Kenny Anderson,LAC,-0.1,21.4,.364,0.0,17.9,0.0,,2.9,4.8,0.0,04/05,24.9,a/anderke01.html,33.4,-6.8,.000,-9.4,4,34,-2.6,anderke01,26,11.5,-0.1
.134,,0.3,.085,SF-SG,Shandon Anderson,TOT,0.5,16.9,.518,1.8,14.4,0.9,,9.0,4.3,1.6,04/05,11.8,a/andersh01.html,8.7,-2.5,.304,-1.0,66,31,1.4,andersh01,1171,9.5,2.1
.500,,0.0,-0.172,SG,Shandon Anderson,NYK,-0.1,33.3,.000,0.0,0.0,0.0,,-6.5,5.8,0.0,04/05,6.8,a/andersh01.html,0.0,-8.9,.000,-10.9,1,31,-2.0,andersh01,20,2.9,-0.1
.130,,0.3,.090,SF,Shandon Anderson,MIA,0.5,16.7,.522,1.8,14.6,0.9,,9.2,4.2,1.6,04/05,11.9,a/andersh01.html,8.8,-2.3,.307,-0.9,65,31,1.5,andersh01,1151,9.6,2.2
.128,,0.5,.090,SF,Carmelo Anthony,DEN,2.3,13.1,.526,1.3,12.5,0.9,,16.7,6.3,2.6,04/05,29.2,a/anthoca01.html,13.1,0.1,.466,-1.2,75,20,-1.3,anthoca01,2608,9.4,4.9
.017,,-0.7,.016,C,Rafael Araujo,TOR,-0.4,20.7,.492,1.5,19.7,0.8,,7.1,8.9,0.7,04/05,15.6,a/araujra01.html,3.4,-5.2,.314,-5.9,59,24,-0.7,araujra01,736,14.2,0.3
.369,,4.9,.169,PG,Gilbert Arenas,WAS,9.2,11.8,.565,2.2,10.5,0.5,,21.3,2.8,2.3,04/05,27.3,a/arenagi01.html,22.9,5.5,.420,4.0,80,23,-1.5,arenagi01,3274,6.5,11.5
.033,,0.4,.073,SF,Trevor Ariza,NYK,0.8,13.6,.503,2.7,13.1,1.0,,13.3,7.5,1.3,04/05,17.8,a/arizatr01.html,9.8,-1.6,.447,-1.0,80,19,0.7,arizatr01,1382,10.3,2.1
.401,,0.1,.039,PG,Darrell Armstrong,TOT,-0.2,17.9,.430,2.4,9.3,0.6,,11.0,4.0,1.0,04/05,17.3,a/armstda01.html,27.9,-1.2,.245,-1.6,66,36,-0.4,armstda01,988,6.7,0.8
.440,,0.0,-0.002,PG,Darrell Armstrong,NOH,-0.3,14.3,.422,2.0,9.6,0.4,,11.1,4.4,0.3,04/05,22.1,a/armstda01.html,28.5,-0.5,.132,-1.8,14,36,-1.3,armstda01,412,6.9,0.0
.347,,0.1,.069,PG,Darrell Armstrong,DAL,0.1,21.9,.440,2.7,9.1,0.8,,10.9,3.8,0.7,04/05,13.8,a/armstda01.html,27.5,-1.6,.398,-1.5,52,36,0.2,armstda01,576,6.5,0.8
.070,,-1.0,.043,PG,Carlos Arroyo,TOT,0.3,17.8,.466,1.7,6.5,0.2,,11.3,2.1,1.0,04/05,19.3,a/arroyca01.html,32.3,-2.3,.347,-4.8,70,25,-2.5,arroyca01,1448,4.3,1.3
.078,,-0.6,.027,PG,Carlos Arroyo,UTA,0.3,17.5,.474,1.5,6.0,0.3,,11.8,1.8,0.1,04/05,19.5,a/arroyca01.html,34.7,-1.5,.272,-5.1,30,25,-3.7,arroyca01,742,3.8,0.4
.061,,-0.4,.060,PG,Carlos Arroyo,DET,0.0,18.1,.458,1.9,7.1,0.1,,10.7,2.5,0.9,04/05,19.1,a/arroyca01.html,29.7,-3.1,.437,-4.5,40,25,-1.4,arroyca01,706,4.8,0.9
.500,,0.8,.074,PG,Chucky Atkins,LAL,4.7,13.1,.558,1.3,6.4,0.1,,13.4,1.2,-0.2,04/05,17.9,a/atkinch01.html,20.6,2.0,.223,-0.9,82,30,-2.9,atkinch01,2903,3.8,4.5
.000,,-0.2,.053,SF,Stacey Augmon,ORL,0.3,13.4,.480,1.8,9.0,0.9,,9.8,7.7,0.4,04/05,15.3,a/augmost01.html,8.1,-2.5,.461,-3.1,55,36,-0.6,augmost01,663,8.4,0.7
.000,,0.0,-0.057,PG,Maurice Baker,TOT,0.0,50.0,.000,2.8,5.8,0.0,,-0.2,6.3,0.0,04/05,4.8,b/bakerma01.html,7.2,-7.0,.000,-5.0,5,25,2.0,bakerma01,19,6.1,0.0
,,0.0,-0.009,PG,Maurice Baker,LAC,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,04/05,0.0,b/bakerma01.html,0.0,-5.9,,-6.2,1,25,-0.2,bakerma01,1,0.0,0.0
.000,,0.0,-0.059,PG,Maurice Baker,POR,0.0,50.0,.000,3.0,6.2,0.0,,-0.2,6.7,0.0,04/05,5.1,b/bakerma01.html,7.6,-7.1,.000,-4.9,4,25,2.2,bakerma01,18,6.4,0.0
.024,,-0.3,-0.091,PF-C,Vin Baker,TOT,-0.5,25.6,.354,0.5,12.7,1.5,,1.4,9.7,0.1,04/05,14.9,b/bakervi01.html,7.2,-7.2,.405,-7.7,27,33,-0.5,bakervi01,204,11.2,-0.4
.026,,-0.2,-0.074,PF,Vin Baker,NYK,-0.4,25.2,.370,0.6,12.4,1.6,,2.7,10.4,0.1,04/05,14.2,b/bakervi01.html,6.9,-6.4,.395,-6.9,24,33,-0.5,bakervi01,191,11.4,-0.3
.000,,-0.1,-0.344,C,Vin Baker,HOU,-0.1,29.1,.205,0.0,17.5,0.0,,-18.3,0.0,0.0,04/05,24.9,b/bakervi01.html,10.7,-18.3,.500,-19.8,3,33,-1.6,bakervi01,13,9.0,-0.1
.206,,0.2,.081,PG,Marcus Banks,BOS,0.8,18.1,.520,2.8,9.7,0.9,,12.3,3.0,1.2,04/05,17.2,b/banksma01.html,20.3,-1.3,.570,-1.5,81,23,-0.2,banksma01,1145,6.4,1.9
