pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
sharpwa01,,,,,,,,"$442,114",,,
jaricma01,"$7,625,000","$7,100,000",,,,,"$6,050,000","$6,575,000","$5,000,000","$5,525,000","$2,100,000"
couside01,"$3,374,640",,"$3,880,800","$3,627,720","$13,701,250","$4,916,974",,,,,
mcneaje01,,,,,"$29,843",,,,,,
roberan02,,,,,,,,"$797,581","$398,762","$267,111",
mcdyean01,"$4,860,000","$3,000,000",,"$2,640,000",,,"$6,373,900","$950,419","$5,393,300","$5,883,600","$4,903,000"
brackcr01,"$1,306,920",,,"$1,404,960",,,,,,,
speigma01,"$1,773,960","$1,658,280","$4,200,000","$2,721,255","$3,657,500","$3,500,000",,"$1,542,600",,,
muscami01,,,,,"$816,482",,,,,,
beaubro01,"$1,156,080","$1,075,440","$2,227,333","$1,236,720",,,,,,,
milleda01,,,"$473,604",,"$400,000","$788,872",,,,,
robinna01,"$4,200,000","$4,000,000","$1,146,337","$983,307","$154,918","$2,016,000","$1,268,160","$2,020,179","$1,102,680","$1,185,480",
traylro01,,,,,,,,,,,"$1,600,000"
caldwke01,,,,,"$2,772,480","$2,653,080",,,,,
odengr01,"$6,760,524","$5,361,240",,"$1,500,000",,"$1,027,424","$4,662,000","$5,011,680",,,
blairde01,"$918,000","$850,000","$1,054,000","$986,000","$2,000,000","$947,907",,,,,
hallmi01,,,,,,,,,,"$135,895",
kamanch01,"$11,800,000","$10,400,000","$8,000,000","$14,030,000","$4,800,000","$3,183,000","$8,600,000","$9,500,000","$2,753,760","$3,491,768","$2,574,240"
lauvejo01,,,,,"$1,790,280",,,,,,
jamesda01,"$1,156,320",,"$50,258","$1,243,080",,,,,,,
ibakase01,"$1,204,200","$1,120,200","$2,253,062","$1,288,200","$12,350,000","$12,250,000",,,,,
bogdabo02,,,,,"$3,278,000",,,,,,
pekovni01,"$4,000,000",,"$4,837,200","$4,503,600","$12,100,000","$12,100,000",,,,,
ortonda01,"$1,028,400",,"$757,712","$1,105,560",,,,,,,
johnsan02,,"$2,160,000",,,,,"$2,860,000","$1,910,000","$2,420,000","$2,640,000","$2,200,000"
gaide01,,,,,,,,,"$92,396",,
pietrmi01,"$5,300,000","$5,300,000","$1,005,097","$1,223,166",,,"$3,470,770","$5,300,000","$1,910,520","$2,535,260","$1,785,960"
bassbr01,"$4,000,000","$4,000,000","$6,000,000","$4,250,000","$6,900,000","$6,450,000","$770,610","$826,269","$398,762","$664,209",
strawdj01,,,,,,,"$427,163",,,,
nichoan01,,,"$1,418,160",,"$1,545,840","$1,482,000",,,,,
nealga01,"$525,000",,"$854,389","$762,195","$3,250,000","$3,250,000",,,,,
shumpim01,,,"$1,680,360","$1,563,120","$2,616,975","$1,703,760",,,,,
mclembe01,,,,,"$3,026,280","$2,895,960",,,,,
radulmi01,,,,,"$96,100",,,,,,
mutomdi01,,,,,,,"$1,219,590","$794,491","$2,000,000","$2,210,000","$4,496,434"
kutluib01,,,,,,,,,"$1,760,000",,"$1,600,000"
johnsja01,"$1,713,600","$1,594,080","$2,812,006","$1,833,120","$2,500,000",,,,,,
johnsja02,,,"$1,120,440","$1,042,320",,,,,,,
greenwi01,"$3,976,000","$3,682,000","$1,475,106","$1,223,166","$1,448,490","$1,399,507","$3,094,000","$3,388,000",,"$2,800,000","$620,046"
brownpj01,,,,,,,,,"$8,000,000","$8,560,000","$8,000,000"
karlco01,,"$43,319",,,,,"$427,163",,,,
woodsqy01,,,,,,,,,"$599,834",,"$1,127,280"
gladnmi01,,,,"$248,263",,,,,,,
collija03,"$643,551","$1,181,803",,,,,"$2,350,000","$2,074,302","$1,700,000","$2,625,698","$1,700,000"
collija02,,,,,,,,,"$1,650,000",,"$1,500,000"
collija04,"$1,352,181","$1,181,803","$1,352,181","$1,352,181",,,"$6,100,000","$6,200,000","$5,500,000","$5,800,000","$1,887,864"
boonejo01,,"$2,056,968",,,,,"$1,133,040","$1,212,120",,"$1,053,960",
greener01,,,,,"$507,336",,,,,,
hunteot01,,"$307,564",,,,,,"$442,114",,,
boozeca01,"$14,400,000","$13,520,500","$15,000,000","$13,500,000","$3,250,000","$15,300,000","$11,260,483","$11,593,817","$11,593,816","$11,260,483","$10,967,500"
brownan01,,,,,,,"$711,517","$107,908",,"$241,591",
wareca01,,,,,,,,,,,
ahearbl01,,,,,,,,"$125,562",,,
anticpe01,,,,,"$1,250,000",,,,,,
murpher01,,,,,"$100,000",,,,,,
haddaha01,"$1,600,000","$1,627,779","$1,300,000","$1,300,000",,"$200,000",,"$1,572,221",,,
nichode01,,,,,,,"$427,163","$87,893",,,
collish01,"$473,604",,,,,,,,,,
pittmde01,"$473,604",,"$854,389","$762,195",,,,,,,
kirilan01,"$17,823,000","$16,452,000","$9,779,349",,"$3,326,235","$3,183,000","$13,735,000","$15,106,000","$10,983,000","$12,364,000","$1,671,694"
uzohbe01,"$473,604",,,"$61,433",,,,,,,
tsakaja01,,,,,,,,,"$2,900,000","$2,900,000","$2,900,000"
bowenbr01,,"$2,000,000",,,,,"$4,125,000","$4,000,000","$3,375,000","$3,750,000","$3,000,000"
adamsst01,,,,,"$2,184,960","$2,090,880",,,,,
hilarne01,"$11,360,000","$10,520,000","$13,000,000","$13,000,000","$13,000,000","$13,000,000","$8,840,000","$9,680,000","$3,039,889","$8,000,000","$2,260,280"
waltolu01,"$5,260,000","$4,840,000","$6,091,363","$5,680,000",,,"$4,000,000","$4,420,000","$1,250,000","$1,375,000","$620,046"
plumlma01,,,,,"$1,357,080","$1,298,640",,,,,
sypa01,"$473,604",,,,,,,,,,
curryed01,"$11,530,592","$10,500,423","$23,852","$1,229,255",,,"$8,947,543","$9,723,983","$7,390,000","$8,171,103","$3,896,402"
greenge01,,,"$3,500,000","$73,818","$3,500,000","$3,500,000","$1,440,960","$854,957","$1,253,040","$1,347,000",
roybr01,"$13,520,500","$3,910,816","$5,100,000","$16,032,144","$19,317,326",,"$2,883,120","$3,084,240",,"$2,681,880",
mooreet01,,,"$762,195","$473,604","$948,163","$884,293",,,,,
okafoem01,"$11,495,000","$10,538,937","$13,490,000","$12,541,812",,"$14,487,500","$5,427,307","$9,537,500","$4,020,120","$4,300,560","$3,739,680"
wrighdo01,"$3,500,000","$2,750,000","$4,106,000","$3,823,000","$3,150,000","$3,000,000","$2,040,746","$2,612,835","$1,238,640","$1,325,160","$1,152,240"
millspa02,"$937,195","$457,588","$1,085,120",,"$3,842,105","$1,133,950",,,,,
smithis01,"$473,604",,"$854,389","$116,768","$981,084","$951,463",,,,,
dudleja01,"$2,151,068","$1,307,640","$4,250,000","$4,250,000","$4,250,000","$4,250,000","$1,137,000","$1,222,320",,,
diopde01,"$6,478,600","$6,031,800","$7,372,200","$6,925,400",,,"$2,146,000","$5,585,000","$1,850,000","$1,998,000","$2,695,164"
magloja01,"$1,229,255","$1,229,225",,"$1,352,181",,,"$4,000,000","$1,141,838","$8,533,333","$8,433,334","$8,533,333"
tinslja01,"$5,500,000","$990,300",,,,,"$6,300,000","$6,750,000","$5,400,000","$5,850,000","$1,554,326"
anthoca01,"$17,149,243","$15,779,912","$19,450,000","$18,518,574","$22,458,000","$22,407,474","$13,041,250","$14,410,581","$3,713,640","$4,694,041","$3,471,360"
willima04,,,,,,,"$12,890",,,,
koufoko01,"$1,352,640","$1,214,040","$3,000,000","$2,203,792","$3,000,000","$3,000,000",,"$1,129,320",,,
barneha02,,,"$2,798,040",,"$3,049,920","$2,923,920",,,,,
arthuda01,"$1,123,680","$1,050,480","$3,006,217","$2,027,119","$3,457,149","$3,231,683",,"$977,160",,,
dixonju01,,,,,,,"$2,550,000","$998,398","$2,500,000","$2,550,000","$1,348,200"
duhonch01,"$3,500,000","$6,031,800","$3,500,000","$3,500,000",,"$1,500,000","$3,248,000","$5,585,000","$2,800,000","$3,024,000","$385,277"
hibbero01,"$1,685,280","$1,575,360","$13,686,750","$2,588,590","$14,898,938","$14,283,844",,"$1,465,400",,,
snower01,,,,,,,"$6,703,125","$7,312,500","$5,484,375","$6,093,750","$4,875,000"
mcfariv01,,,,,,,,,,"$412,718",
davised01,"$1,919,160",,"$2,207,040","$2,063,040","$981,084","$3,153,860",,,,,
silasxa01,,,,,,,,,,,
barryjo01,,,,,,,,,"$1,800,000",,"$1,800,000"
anderke01,,,,,,,,,,,"$1,100,000"
youngja01,,,,,"$1,674,480",,,,,,
stephdj01,,,,,,,,,,,
selbyjo01,,,"$762,195","$550,000",,,,,,,
livinra01,,,,,,,,,,,
zellety01,,,"$1,563,120",,"$1,703,760","$1,633,440",,,,,
watkida01,,,,,,,"$109,461",,,,
harrimi01,,"$64,978",,,,,,,,,
buyckdw01,,,,,"$48,028",,,,,,
allenma01,"$1,229,255","$1,300,000",,,,,"$998,398","$1,300,000","$1,670,000","$1,803,600","$1,950,625"
fernaru01,"$1,246,680","$1,165,320",,"$2,180,443",,,,"$1,084,080",,,
cartevi01,"$17,300,000","$16,300,000","$3,090,000","$3,000,000","$3,911,981","$3,180,000","$13,320,000","$14,724,125","$13,843,156","$15,101,625","$12,584,688"
wiggian01,,,,,"$5,510,640",,,,,,
cousima01,,,,,,,,,,,
wilcocj01,,,,,"$1,109,760",,,,,,
mercero01,,,,,,,,,"$1,760,000",,"$1,600,000"
harrijo01,,,,,"$884,879",,,,,,
jonesbo02,,,,,,,"$85,932",,,"$412,718",
westde01,"$1,069,509","$4,254,250","$992,680","$1,146,337",,,"$1,889,760","$3,850,000","$1,010,040","$1,080,480","$939,480"
bynuman01,"$13,700,000","$12,526,998","$16,889,000","$14,900,000",,"$6,000,000","$2,172,000","$2,769,300","$1,888,680","$2,030,280",
lafrera01,,,,,,,"$12,440,787","$12,722,500","$10,623,288","$11,532,037","$9,714,538"
sesayan01,,,,,,,,,,,"$745,046"
ackeral01,,,,,,,,"$711,517","$398,762","$839,209",
