fg2a,fg_pct,fg2,fg3,team_name,pts,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,fg,orb,fga,g,stl,trb,fg2_pct,mp,drb
4992,.477,2555,796,Phoenix Suns*,9054,1125,2080,1563,453,.748,2026,1556,1927,04/05,.393,3351,967,7018,82,572,3619,.512,19780,2652
5582,.459,2681,522,Sacramento Kings*,8505,1073,2004,1685,316,.787,1396,1577,2005,04/05,.374,3203,1023,6978,82,674,3478,.480,19855,2455
5418,.457,2595,463,Dallas Mavericks*,8405,1102,2314,1827,461,.789,1273,1826,1610,04/05,.364,3058,990,6691,82,708,3520,.479,19730,2530
5108,.486,2622,475,Miami Heat*,8327,1127,2466,1814,474,.672,1260,1658,1790,04/05,.377,3097,887,6368,82,528,3526,.513,19980,2639
5259,.468,2609,437,Boston Celtics*,8304,1297,2323,2000,423,.764,1252,1775,1810,04/05,.349,3046,909,6511,82,667,3347,.496,19880,2438
5296,.437,2452,514,Washington Wizards*,8241,1172,2476,1807,347,.725,1498,1795,1563,04/05,.343,2966,1133,6794,82,716,3507,.463,19780,2374
4975,.444,2304,648,Toronto Raptors,8178,1087,2101,1876,317,.774,1681,1626,1670,04/05,.385,2952,844,6656,82,621,3288,.463,19805,2444
5675,.459,2718,320,Denver Nuggets*,8161,1224,2313,1878,489,.763,940,1765,1958,04/05,.340,3038,967,6615,82,750,3440,.479,19755,2473
5763,.454,2714,320,Orlando Magic,8160,1322,2335,1937,441,.759,916,1772,1583,04/05,.349,3034,1038,6679,82,633,3582,.471,19705,2544
5283,.437,2441,505,Philadelphia 76ers*,8128,1274,2194,1878,321,.789,1453,1731,1710,04/05,.348,2946,909,6736,82,756,3445,.462,19855,2536
4674,.444,2216,666,Seattle SuperSonics*,8113,1113,2131,1944,338,.790,1824,1683,1487,04/05,.365,2882,1041,6498,82,553,3352,.474,19755,2311
4816,.437,2251,644,Los Angeles Lakers,8095,1176,2137,1794,344,.777,1813,1661,1672,04/05,.355,2895,1028,6629,82,508,3539,.467,19780,2511
5265,.430,2405,624,Golden State Warriors,8094,1112,1955,1833,420,.722,1774,1412,1811,04/05,.352,3029,1069,7039,82,642,3505,.457,19905,2436
5359,.451,2537,441,New York Knicks,7977,1204,2060,1942,260,.767,1240,1580,1665,04/05,.356,2978,965,6599,82,629,3358,.473,19880,2393
5655,.450,2639,325,Milwaukee Bucks,7973,1132,2229,1797,289,.772,925,1720,1720,04/05,.351,2964,985,6580,82,529,3390,.467,19780,2405
5484,.459,2650,395,Minnesota Timberwolves,7934,1079,1820,1774,447,.796,1145,1449,1918,04/05,.345,3045,947,6629,82,460,3527,.483,19755,2580
