fg2a,gs,fg_pct,pos,fg2,fg3,player,team_id,pts,efg_pct,tov,fta,pf,blk,ft_pct,fg3a,ft,ast,season,fg3_pct,link,fg,orb,fga,g,stl,age,trb,pseudo,fg2_pct,mp,drb
631,49,.503,PF,322,15,Shareef Abdur-Rahim,POR,909,.514,117,254,150,26,.866,39,220,111,04/05,.385,a/abdursh01.html,337,123,670,54,49,28,392,abdursh01,.510,1867,269
30,1,.327,SG,8,8,Cory Alexander,CHA,49,.408,19,12,29,1,.750,19,9,37,04/05,.421,a/alexaco01.html,16,8,49,16,9,31,29,alexaco01,.267,201,21
177,1,.475,PF,84,0,Malik Allen,TOT,194,.475,18,28,53,22,.929,0,26,18,04/05,,a/allenma01.html,84,40,177,36,9,26,99,allenma01,.475,519,59
76,0,.461,PF,35,0,Malik Allen,MIA,83,.461,11,14,29,11,.929,0,13,11,04/05,,a/allenma01.html,35,24,76,14,4,26,52,allenma01,.461,248,28
101,1,.485,PF,49,0,Malik Allen,CHA,111,.485,7,14,24,11,.929,0,13,7,04/05,,a/allenma01.html,49,16,101,22,5,26,47,allenma01,.485,271,31
938,78,.428,SG,431,209,Ray Allen,SEA,1867,.498,171,428,167,5,.883,556,378,289,04/05,.376,a/allenra02.html,640,79,1494,78,84,29,347,allenra02,.459,3064,268
356,34,.475,SG,172,12,Tony Allen,BOS,492,.491,77,152,156,24,.737,31,112,64,04/05,.387,a/allento01.html,184,85,387,77,76,23,221,allento01,.483,1262,136
585,78,.414,PG,264,139,Rafer Alston,TOR,1136,.485,170,258,212,7,.740,389,191,514,04/05,.357,a/alstora01.html,403,42,974,80,118,28,279,alstora01,.451,2717,237
355,2,.534,C,191,0,Chris Andersen,NOH,513,.534,64,190,144,100,.689,3,131,71,04/05,.000,a/anderch01.html,191,137,358,67,14,26,410,anderch01,.538,1430,273
240,32,.389,SG,94,58,Derek Anderson,POR,432,.463,70,87,89,4,.805,151,70,143,04/05,.384,a/anderde01.html,152,25,391,47,36,30,128,anderde01,.392,1239,103
188,20,.423,PG,79,6,Kenny Anderson,TOT,203,.438,49,37,87,0,.730,13,27,103,04/05,.462,a/anderke01.html,85,24,201,43,33,34,88,anderke01,.420,743,64
177,20,.426,PG,75,6,Kenny Anderson,ATL,195,.442,46,37,81,0,.730,13,27,98,04/05,.462,a/anderke01.html,81,23,190,39,33,34,83,anderke01,.424,717,60
11,0,.364,PG,4,0,Kenny Anderson,LAC,8,.364,3,0,6,0,,0,0,5,04/05,,a/anderke01.html,4,1,11,4,0,34,5,anderke01,.364,26,4
188,5,.452,SF-SG,93,5,Shandon Anderson,TOT,255,.463,50,66,138,14,.818,29,54,70,04/05,.172,a/andersh01.html,98,41,217,66,40,31,191,andersh01,.495,1171,150
1,0,.000,SG,0,0,Shandon Anderson,NYK,0,.000,1,0,2,0,,1,0,0,04/05,.000,a/andersh01.html,0,1,2,1,0,31,1,andersh01,.000,20,0
187,5,.456,SF,93,5,Shandon Anderson,MIA,255,.467,49,66,136,14,.818,28,54,70,04/05,.179,a/andersh01.html,98,40,215,65,40,31,190,andersh01,.497,1151,150
1072,75,.431,SF,488,42,Carmelo Anthony,DEN,1558,.448,224,573,229,30,.796,158,456,194,04/05,.266,a/anthoca01.html,530,141,1230,75,68,20,426,anthoca01,.455,2608,285
172,41,.434,C,75,1,Rafael Araujo,TOR,196,.437,52,55,157,8,.782,3,43,16,04/05,.333,a/araujra01.html,76,59,175,59,21,24,185,araujra01,.436,736,126
961,80,.431,PG,451,205,Gilbert Arenas,WAS,2038,.498,242,640,245,23,.814,562,521,411,04/05,.365,a/arenagi01.html,656,83,1523,80,139,23,378,arenagi01,.469,3274,295
376,12,.442,SF,169,3,Trevor Ariza,NYK,468,.446,73,174,150,18,.695,13,121,85,04/05,.231,a/arizatr01.html,172,89,389,80,70,19,242,arizatr01,.449,1382,153
166,16,.321,PG,61,28,Darrell Armstrong,TOT,264,.372,67,68,92,8,.853,111,58,178,04/05,.252,a/armstda01.html,89,35,277,66,45,36,115,armstda01,.367,988,80
89,9,.333,PG,36,17,Darrell Armstrong,NOH,142,.387,28,21,30,2,.905,70,19,65,04/05,.243,a/armstda01.html,53,16,159,14,15,36,48,armstda01,.404,412,32
77,7,.305,PG,25,11,Darrell Armstrong,DAL,122,.352,39,47,62,6,.830,41,39,113,04/05,.268,a/armstda01.html,36,19,118,52,30,36,67,armstda01,.325,576,48
399,16,.389,PG,159,8,Carlos Arroyo,TOT,461,.399,107,149,143,4,.799,30,119,280,04/05,.267,a/arroyca01.html,167,26,429,70,44,25,104,arroyca01,.398,1448,78
214,16,.401,PG,86,7,Carlos Arroyo,UTA,246,.416,55,63,67,3,.841,18,53,152,04/05,.389,a/arroyca01.html,93,11,232,30,20,25,46,arroyca01,.402,742,35
185,0,.376,PG,73,1,Carlos Arroyo,DET,215,.378,52,86,76,1,.767,12,66,128,04/05,.083,a/arroyca01.html,74,15,197,40,24,25,58,arroyca01,.395,706,43
455,82,.426,PG,212,176,Chucky Atkins,LAL,1115,.523,151,203,181,2,.803,455,163,358,04/05,.387,a/atkinch01.html,388,31,910,82,73,30,197,atkinch01,.466,2903,166
167,7,.407,SF,68,0,Stacey Augmon,ORL,193,.407,31,77,83,8,.740,0,57,36,04/05,,a/augmost01.html,68,45,167,55,23,36,99,augmost01,.407,663,54
1,0,.000,PG,0,0,Maurice Baker,TOT,0,.000,1,0,3,0,,0,0,1,04/05,,b/bakerma01.html,0,1,1,5,1,25,2,bakerma01,.000,19,1
0,0,,PG,0,0,Maurice Baker,LAC,0,,0,0,0,0,,0,0,0,04/05,,b/bakerma01.html,0,0,0,1,0,25,0,bakerma01,,1,0
1,0,.000,PG,0,0,Maurice Baker,POR,0,.000,1,0,3,0,,0,0,1,04/05,,b/bakerma01.html,0,1,1,4,1,25,2,bakerma01,.000,18,1
41,0,.310,PF-C,13,0,Vin Baker,TOT,35,.310,17,17,38,4,.529,1,9,10,04/05,.000,b/bakervi01.html,13,17,42,27,2,33,39,bakervi01,.317,204,22
37,0,.342,PF,13,0,Vin Baker,NYK,33,.342,15,15,31,4,.467,1,7,9,04/05,.000,b/bakervi01.html,13,17,38,24,2,33,37,bakervi01,.351,191,20
4,0,.000,C,0,0,Vin Baker,HOU,2,.000,2,2,7,0,1.000,0,2,1,04/05,,b/bakervi01.html,0,0,4,3,0,33,2,bakervi01,.000,13,2
227,2,.402,PG,94,21,Marcus Banks,BOS,372,.439,79,163,146,13,.742,59,121,155,04/05,.356,b/banksma01.html,115,29,286,81,63,23,126,banksma01,.414,1145,97
215,6,.475,PG,117,51,Leandro Barbosa,PHO,442,.547,87,69,127,7,.797,139,55,126,04/05,.367,b/barbole01.html,168,32,354,63,30,22,130,barbole01,.544,1087,98
129,9,.411,SF,57,5,Matt Barnes,SAC,164,.427,45,58,80,7,.603,22,35,57,04/05,.227,b/barnema02.html,62,49,151,43,30,24,133,barnema02,.442,715,84
72,1,.363,PG,31,14,Andre Barrett,TOT,118,.419,27,19,51,1,.737,52,14,69,04/05,.269,b/barrean01.html,45,11,124,38,19,22,40,barrean01,.431,483,29
32,0,.290,PG,11,9,Andre Barrett,HOU,56,.355,16,10,35,0,.700,37,7,42,04/05,.243,b/barrean01.html,20,5,69,27,14,22,19,barrean01,.344,314,14
40,1,.455,PG,20,5,Andre Barrett,ORL,62,.500,11,9,16,1,.778,15,7,27,04/05,.333,b/barrean01.html,25,6,55,11,5,22,21,barrean01,.500,169,15
179,8,.423,SG,94,100,Brent Barry,SAS,601,.532,64,135,123,20,.837,280,113,178,04/05,.357,b/barrybr01.html,194,29,459,81,39,33,190,barrybr01,.525,1742,161
203,2,.438,SG,90,71,Jon Barry,TOT,455,.534,67,71,95,9,.873,165,62,167,04/05,.430,b/barryjo01.html,161,26,368,69,60,35,159,barryjo01,.443,1505,133
45,0,.403,SG,20,11,Jon Barry,ATL,83,.474,14,13,28,2,.769,32,10,28,04/05,.344,b/barryjo01.html,31,4,77,16,14,35,21,barryjo01,.444,275,17
158,2,.447,SG,70,60,Jon Barry,HOU,372,.550,53,58,67,7,.897,133,52,139,04/05,.451,b/barryjo01.html,130,22,291,53,46,35,138,barryjo01,.443,1230,116
348,32,.460,C,163,0,Tony Battie,ORL,394,.460,81,94,244,81,.723,6,68,42,04/05,.000,b/battito01.html,163,109,354,81,30,28,452,battito01,.468,1894,343
